case_id,activity,timestamp
4,Tedarikçi Onayladı,2024-04-01T00:19:22+00:00
4,Mal/Hizmet Alındı,2024-04-02T21:11:30+00:00
4,Fatura Alındı,2024-04-07T03:38:18+00:00
4,Ödeme Yapıldı,2024-04-08T02:37:20+00:00
5,Satın Alma Talebi Oluşturuldu,2024-07-24T13:55:39+00:00
5,Talep Onaya Gönderildi,2024-07-24T17:50:35+00:00
5,Talep Reddedildi,2024-07-25T00:24:53+00:00
5,Talep Güncellendi,2024-07-25T14:34:06+00:00
5,Talep Onaya Gönderildi,2024-07-25T19:50:43+00:00
5,Talep Onaylandı,2024-07-25T22:43:17+00:00
5,Satın Alma Siparişi Oluşturuldu,2024-07-26T19:33:17+00:00
5,Tedarikçiye Gönderildi,2024-07-26T23:05:35+00:00
5,Tedarikçi Onayladı,2024-07-27T03:04:55+00:00
5,Mal/Hizmet Alındı,2024-07-28T21:01:48+00:00
5,Fatura Alındı,2024-07-31T16:24:57+00:00
5,Ödeme Yapıldı,2024-08-01T15:23:34+00:00
6,Satın Alma Talebi Oluşturuldu,2024-01-02T10:39:39+00:00
6,Talep Onaya Gönderildi,2024-01-02T13:27:27+00:00
6,Talep Onaylandı,2024-01-02T18:23:21+00:00
6,Satın Alma Siparişi Oluşturuldu,2024-01-03T00:37:35+00:00
6,Tedarikçiye Gönderildi,2024-01-03T03:26:29+00:00
6,Tedarikçi Onayladı,2024-01-03T15:17:41+00:00
6,Mal/Hizmet Alındı,2024-01-06T06:01:11+00:00
6,Fatura Alındı,2024-01-09T10:45:15+00:00
6,Ödeme Yapıldı,2024-01-09T18:03:12+00:00
7,Satın Alma Talebi Oluşturuldu,2024-03-03T04:08:16+00:00
7,Talep Onaya Gönderildi,2024-03-03T05:23:41+00:00
7,Talep Onaylandı,2024-03-03T10:18:38+00:00
7,Satın Alma Siparişi Oluşturuldu,2024-03-03T15:41:41+00:00
7,Tedarikçiye Gönderildi,2024-03-03T20:29:52+00:00
7,Tedarikçi Onayladı,2024-03-04T06:09:22+00:00
7,Mal/Hizmet Alındı,2024-03-05T12:19:08+00:00
7,Fatura Alındı,2024-03-09T21:21:10+00:00
7,Ödeme Yapıldı,2024-03-10T11:26:55+00:00
8,Satın Alma Talebi Oluşturuldu,2024-11-25T15:51:46+00:00
8,Talep Onaya Gönderildi,2024-11-25T19:45:21+00:00
8,Talep Reddedildi,2024-11-26T03:19:45+00:00
8,Talep Güncellendi,2024-11-26T22:26:04+00:00
8,Talep Onaya Gönderildi,2024-11-27T10:42:47+00:00
8,Talep Onaylandı,2024-11-27T13:51:06+00:00
8,Satın Alma Siparişi Oluşturuldu,2024-11-28T01:49:54+00:00
8,Tedarikçiye Gönderildi,2024-11-28T06:11:24+00:00
8,Tedarikçi Onayladı,2024-11-28T11:55:27+00:00
8,Mal/Hizmet Alındı,2024-12-01T07:06:21+00:00
8,Fatura Alındı,2024-12-05T13:17:03+00:00
8,Ödeme Yapıldı,2024-12-05T20:44:17+00:00
9,Satın Alma Talebi Oluşturuldu,2024-01-18T08:06:25+00:00
9,Talep Onaya Gönderildi,2024-01-18T10:52:18+00:00
9,Talep Onaylandı,2024-01-18T14:15:09+00:00
9,Satın Alma Siparişi Oluşturuldu,2024-01-18T22:39:24+00:00
9,Tedarikçiye Gönderildi,2024-01-19T00:00:42+00:00
9,Tedarikçi Onayladı,2024-01-19T08:19:22+00:00
9,Mal/Hizmet Alındı,2024-01-20T19:18:43+00:00
9,Fatura Alındı,2024-01-27T07:57:45+00:00
9,Ödeme Yapıldı,2024-01-28T04:52:28+00:00
10,Satın Alma Talebi Oluşturuldu,2024-07-04T20:43:40+00:00
10,Talep Onaya Gönderildi,2024-07-04T22:33:47+00:00
10,Talep Onaylandı,2024-07-05T03:28:32+00:00
10,Satın Alma Siparişi Oluşturuldu,2024-07-05T18:15:37+00:00
10,Tedarikçiye Gönderildi,2024-07-05T22:52:37+00:00
10,Tedarikçi Onayladı,2024-07-06T09:42:03+00:00
10,Kısmi Teslimat Alındı,2024-07-08T13:21:32+00:00
10,İkinci Teslimat Alındı,2024-07-11T06:51:17+00:00
10,Fatura Alındı,2024-07-13T16:54:32+00:00
10,Ödeme Yapıldı,2024-07-14T03:51:51+00:00
11,Satın Alma Talebi Oluşturuldu,2024-12-01T19:22:35+00:00
11,Talep Onaya Gönderildi,2024-12-01T21:26:21+00:00
11,Talep Reddedildi,2024-12-02T01:54:21+00:00
11,Talep Güncellendi,2024-12-02T23:10:57+00:00
11,Talep Onaya Gönderildi,2024-12-03T03:49:57+00:00
11,Talep Onaylandı,2024-12-03T06:47:34+00:00
11,Satın Alma Siparişi Oluşturuldu,2024-12-03T23:42:59+00:00
11,Tedarikçiye Gönderildi,2024-12-04T01:01:10+00:00
11,Tedarikçi Onayladı,2024-12-04T10:18:06+00:00
11,Mal/Hizmet Alındı,2024-12-07T00:43:49+00:00
11,Fatura Alındı,2024-12-09T13:50:33+00:00
11,Ödeme Yapıldı,2024-12-09T20:03:27+00:00
12,Satın Alma Talebi Oluşturuldu,2024-04-19T21:11:14+00:00
12,Talep Onaya Gönderildi,2024-04-19T23:27:10+00:00
12,Talep Onaylandı,2024-04-20T03:07:26+00:00
12,Satın Alma Siparişi Oluşturuldu,2024-04-20T12:07:12+00:00
12,Tedarikçiye Gönderildi,2024-04-20T17:44:11+00:00
12,Tedarikçi Onayladı,2024-04-21T00:10:04+00:00
12,Mal/Hizmet Alındı,2024-04-23T17:30:45+00:00
12,Fatura Alındı,2024-04-28T11:33:06+00:00
12,Ödeme Yapıldı,2024-04-28T14:39:52+00:00
13,Satın Alma Talebi Oluşturuldu,2024-01-13T11:06:22+00:00
13,Talep Onaya Gönderildi,2024-01-13T15:00:47+00:00
13,Talep Onaylandı,2024-01-13T22:34:16+00:00
13,Satın Alma Siparişi Oluşturuldu,2024-01-14T19:32:42+00:00
13,Tedarikçiye Gönderildi,2024-01-14T21:22:36+00:00
13,Tedarikçi Onayladı,2024-01-15T04:13:59+00:00
13,Mal/Hizmet Alındı,2024-01-16T14:29:34+00:00
13,Fatura Alındı,2024-01-20T14:37:04+00:00
13,Ödeme Yapıldı,2024-01-20T17:54:28+00:00
14,Satın Alma Talebi Oluşturuldu,2024-10-31T05:59:20+00:00
14,Talep Onaya Gönderildi,2024-10-31T07:47:04+00:00
14,Talep Onaylandı,2024-10-31T14:29:20+00:00
14,Satın Alma Siparişi Oluşturuldu,2024-11-01T03:35:20+00:00
14,Tedarikçiye Gönderildi,2024-11-01T06:42:14+00:00
14,Tedarikçi Onayladı,2024-11-01T18:16:38+00:00
14,Mal/Hizmet Alındı,2024-11-04T18:03:27+00:00
14,Fatura Alındı,2024-11-09T12:44:59+00:00
14,Ödeme Yapıldı,2024-11-10T06:33:17+00:00
15,Satın Alma Talebi Oluşturuldu,2024-08-19T11:02:05+00:00
15,Talep Onaya Gönderildi,2024-08-19T12:41:16+00:00
15,Talep Reddedildi,2024-08-19T15:02:19+00:00
15,Talep Güncellendi,2024-08-20T09:45:12+00:00
15,Talep Onaya Gönderildi,2024-08-20T14:29:05+00:00
15,Talep Onaylandı,2024-08-20T16:25:32+00:00
15,Satın Alma Siparişi Oluşturuldu,2024-08-20T21:25:43+00:00
15,Tedarikçiye Gönderildi,2024-08-21T00:48:45+00:00
15,Tedarikçi Onayladı,2024-08-21T12:00:23+00:00
15,Mal/Hizmet Alındı,2024-08-23T13:30:01+00:00
15,Fatura Alındı,2024-08-25T20:19:33+00:00
15,Ödeme Yapıldı,2024-08-26T09:29:53+00:00
16,Satın Alma Talebi Oluşturuldu,2024-02-24T05:19:48+00:00
16,Talep Onaya Gönderildi,2024-02-24T08:06:54+00:00
16,Talep Onaylandı,2024-02-24T14:09:58+00:00
16,Satın Alma Siparişi Oluşturuldu,2024-02-24T22:52:13+00:00
16,Tedarikçiye Gönderildi,2024-02-25T00:28:11+00:00
16,Tedarikçi Onayladı,2024-02-25T11:22:21+00:00
16,Mal/Hizmet Alındı,2024-02-26T23:11:27+00:00
16,Fatura Alındı,2024-03-02T22:32:00+00:00
16,Ödeme Yapıldı,2024-03-03T14:09:35+00:00
17,Satın Alma Talebi Oluşturuldu,2025-02-11T01:22:34+00:00
17,Talep Onaya Gönderildi,2025-02-11T03:19:30+00:00
17,Talep Onaylandı,2025-02-11T06:53:23+00:00
17,Satın Alma Siparişi Oluşturuldu,2025-02-12T00:17:03+00:00
17,Tedarikçiye Gönderildi,2025-02-12T02:51:18+00:00
17,Tedarikçi Onayladı,2025-02-12T07:30:41+00:00
17,Mal/Hizmet Alındı,2025-02-13T13:47:36+00:00
17,Fatura Alındı,2025-02-18T19:15:13+00:00
17,Ödeme Yapıldı,2025-02-19T07:18:45+00:00
18,Satın Alma Talebi Oluşturuldu,2024-02-27T08:18:06+00:00
18,Talep Onaya Gönderildi,2024-02-27T09:19:46+00:00
18,Talep Onaylandı,2024-02-27T15:03:23+00:00
18,Satın Alma Siparişi Oluşturuldu,2024-02-28T06:18:59+00:00
18,Tedarikçiye Gönderildi,2024-02-28T07:48:58+00:00
18,Tedarikçi Onayladı,2024-02-28T15:11:33+00:00
18,Mal/Hizmet Alındı,2024-03-01T15:28:30+00:00
18,Fatura Alındı,2024-03-04T07:22:11+00:00
18,Fatura Uyuşmazlığı,2024-03-04T17:02:53+00:00
18,Fatura Düzeltildi,2024-03-04T21:52:25+00:00
18,Ödeme Yapıldı,2024-03-06T09:35:57+00:00
19,Satın Alma Talebi Oluşturuldu,2024-12-07T08:21:08+00:00
19,Talep Onaya Gönderildi,2024-12-07T11:51:12+00:00
19,Talep Onaylandı,2024-12-07T18:04:28+00:00
19,Satın Alma Siparişi Oluşturuldu,2024-12-08T10:18:29+00:00
19,Tedarikçiye Gönderildi,2024-12-08T16:14:39+00:00
19,Tedarikçi Onayladı,2024-12-09T00:47:03+00:00
19,Kısmi Teslimat Alındı,2024-12-10T01:09:34+00:00
19,İkinci Teslimat Alındı,2024-12-14T11:59:28+00:00
19,Fatura Alındı,2024-12-16T09:32:47+00:00
19,Ödeme Yapıldı,2024-12-17T02:08:27+00:00
20,Satın Alma Talebi Oluşturuldu,2024-04-15T07:22:04+00:00
20,Talep Onaya Gönderildi,2024-04-15T09:09:40+00:00
20,Talep Onaylandı,2024-04-15T16:29:58+00:00
20,Satın Alma Siparişi Oluşturuldu,2024-04-16T11:20:52+00:00
20,Tedarikçiye Gönderildi,2024-04-16T13:07:30+00:00
20,Tedarikçi Onayladı,2024-04-16T17:56:33+00:00
20,Mal/Hizmet Alındı,2024-04-18T04:03:10+00:00
20,Fatura Alındı,2024-04-21T21:11:54+00:00
20,Ödeme Yapıldı,2024-04-22T14:19:24+00:00
21,Satın Alma Talebi Oluşturuldu,2025-01-28T13:30:27+00:00
21,Talep Onaya Gönderildi,2025-01-28T15:58:23+00:00
21,Talep Onaylandı,2025-01-28T23:24:18+00:00
21,Satın Alma Siparişi Oluşturuldu,2025-01-29T20:19:37+00:00
21,Tedarikçiye Gönderildi,2025-01-29T21:47:19+00:00
21,Tedarikçi Onayladı,2025-01-30T04:01:27+00:00
21,Mal/Hizmet Alındı,2025-01-31T17:18:18+00:00
21,Fatura Alındı,2025-02-02T17:43:50+00:00
21,Ödeme Yapıldı,2025-02-03T12:41:42+00:00
22,Satın Alma Talebi Oluşturuldu,2024-07-23T11:12:00+00:00
22,Talep Onaya Gönderildi,2024-07-23T12:41:05+00:00
22,Talep Onaylandı,2024-07-23T17:20:08+00:00
22,Satın Alma Siparişi Oluşturuldu,2024-07-24T11:26:56+00:00
22,Tedarikçiye Gönderildi,2024-07-24T15:15:13+00:00
22,Tedarikçi Onayladı,2024-07-24T18:22:20+00:00
22,Mal/Hizmet Alındı,2024-07-27T15:44:05+00:00
22,Fatura Alındı,2024-08-02T02:39:25+00:00
22,Ödeme Yapıldı,2024-08-02T07:56:10+00:00
23,Satın Alma Talebi Oluşturuldu,2024-10-14T18:41:05+00:00
23,Talep Onaya Gönderildi,2024-10-14T21:25:56+00:00
23,Talep Onaylandı,2024-10-15T00:19:14+00:00
23,Satın Alma Siparişi Oluşturuldu,2024-10-15T06:52:11+00:00
23,Tedarikçiye Gönderildi,2024-10-15T09:24:39+00:00
23,Tedarikçi Onayladı,2024-10-15T20:24:02+00:00
23,Mal/Hizmet Alındı,2024-10-18T10:36:52+00:00
23,Fatura Alındı,2024-10-24T17:53:56+00:00
23,Ödeme Yapıldı,2024-10-25T15:40:31+00:00
24,Satın Alma Talebi Oluşturuldu,2024-07-13T19:34:17+00:00
24,Talep Onaya Gönderildi,2024-07-13T22:34:19+00:00
24,Talep Onaylandı,2024-07-14T02:41:39+00:00
24,Satın Alma Siparişi Oluşturuldu,2024-07-14T17:53:30+00:00
24,Tedarikçiye Gönderildi,2024-07-14T23:15:55+00:00
24,Tedarikçi Onayladı,2024-07-15T11:00:13+00:00
24,Mal/Hizmet Alındı,2024-07-17T22:58:43+00:00
24,Fatura Alındı,2024-07-24T14:04:13+00:00
24,Fatura Uyuşmazlığı,2024-07-24T21:16:43+00:00
24,Fatura Düzeltildi,2024-07-25T03:13:43+00:00
24,Ödeme Yapıldı,2024-07-27T17:37:23+00:00
25,Satın Alma Talebi Oluşturuldu,2024-11-17T05:43:29+00:00
25,Talep Onaya Gönderildi,2024-11-17T06:47:56+00:00
25,Talep Onaylandı,2024-11-17T13:13:06+00:00
25,Satın Alma Siparişi Oluşturuldu,2024-11-17T23:51:43+00:00
25,Tedarikçiye Gönderildi,2024-11-18T05:30:58+00:00
25,Tedarikçi Onayladı,2024-11-18T15:32:18+00:00
25,Kısmi Teslimat Alındı,2024-11-21T09:00:49+00:00
25,İkinci Teslimat Alındı,2024-11-25T19:23:15+00:00
25,Fatura Alındı,2024-11-27T14:35:51+00:00
25,Ödeme Yapıldı,2024-11-28T09:55:11+00:00
26,Satın Alma Talebi Oluşturuldu,2024-02-01T01:52:44+00:00
26,Talep Onaya Gönderildi,2024-02-01T05:27:16+00:00
26,Talep Onaylandı,2024-02-01T08:47:21+00:00
26,Satın Alma Siparişi Oluşturuldu,2024-02-02T05:07:15+00:00
26,Tedarikçiye Gönderildi,2024-02-02T08:25:21+00:00
26,Tedarikçi Onayladı,2024-02-02T13:28:27+00:00
26,Mal/Hizmet Alındı,2024-02-05T03:39:03+00:00
26,Fatura Alındı,2024-02-08T06:57:44+00:00
26,Ödeme Yapıldı,2024-02-08T09:28:59+00:00
27,Satın Alma Talebi Oluşturuldu,2024-09-12T23:14:46+00:00
27,Talep Onaya Gönderildi,2024-09-13T01:04:54+00:00
27,Talep Onaylandı,2024-09-13T03:29:54+00:00
27,Satın Alma Siparişi Oluşturuldu,2024-09-13T22:57:53+00:00
27,Tedarikçiye Gönderildi,2024-09-14T01:43:14+00:00
27,Tedarikçi Onayladı,2024-09-14T08:48:53+00:00
27,Kısmi Teslimat Alındı,2024-09-16T17:25:53+00:00
27,İkinci Teslimat Alındı,2024-09-21T06:10:30+00:00
27,Fatura Alındı,2024-09-23T06:01:04+00:00
27,Ödeme Yapıldı,2024-09-23T08:37:30+00:00
28,Satın Alma Talebi Oluşturuldu,2024-07-22T21:24:15+00:00
28,Talep Onaya Gönderildi,2024-07-22T22:56:23+00:00
28,Talep Onaylandı,2024-07-23T06:42:54+00:00
28,Satın Alma Siparişi Oluşturuldu,2024-07-23T16:01:27+00:00
28,Tedarikçiye Gönderildi,2024-07-23T17:33:59+00:00
28,Tedarikçi Onayladı,2024-07-23T23:54:43+00:00
28,Mal/Hizmet Alındı,2024-07-26T10:52:55+00:00
28,Fatura Alındı,2024-07-30T00:31:24+00:00
28,Ödeme Yapıldı,2024-07-30T15:51:36+00:00
29,Satın Alma Talebi Oluşturuldu,2024-10-27T04:33:47+00:00
29,Talep Onaya Gönderildi,2024-10-27T08:15:41+00:00
29,Talep Onaylandı,2024-10-27T11:24:07+00:00
29,Satın Alma Siparişi Oluşturuldu,2024-10-27T16:17:23+00:00
29,Tedarikçiye Gönderildi,2024-10-27T19:28:12+00:00
29,Tedarikçi Onayladı,2024-10-28T02:40:09+00:00
29,Kısmi Teslimat Alındı,2024-10-30T17:22:54+00:00
29,İkinci Teslimat Alındı,2024-11-03T18:50:07+00:00
29,Fatura Alındı,2024-11-07T14:32:04+00:00
29,Ödeme Yapıldı,2024-11-08T08:44:57+00:00
30,Satın Alma Talebi Oluşturuldu,2024-12-01T23:57:58+00:00
30,Talep Onaya Gönderildi,2024-12-02T01:10:33+00:00
30,Talep Onaylandı,2024-12-02T07:09:41+00:00
30,Satın Alma Siparişi Oluşturuldu,2024-12-02T17:45:55+00:00
30,Tedarikçiye Gönderildi,2024-12-02T20:20:06+00:00
30,Tedarikçi Onayladı,2024-12-03T06:48:54+00:00
30,Mal/Hizmet Alındı,2024-12-05T17:21:48+00:00
30,Fatura Alındı,2024-12-09T05:24:07+00:00
30,Ödeme Yapıldı,2024-12-09T14:12:22+00:00
31,Satın Alma Talebi Oluşturuldu,2024-11-09T13:17:12+00:00
31,Talep Onaya Gönderildi,2024-11-09T16:22:41+00:00
31,Talep Onaylandı,2024-11-09T21:42:17+00:00
31,Satın Alma Siparişi Oluşturuldu,2024-11-10T05:32:29+00:00
31,Tedarikçiye Gönderildi,2024-11-10T09:51:58+00:00
31,Tedarikçi Onayladı,2024-11-10T15:39:27+00:00
31,Mal/Hizmet Alındı,2024-11-13T03:34:05+00:00
31,Fatura Alındı,2024-11-16T00:27:05+00:00
31,Ödeme Yapıldı,2024-11-16T14:58:18+00:00
32,Satın Alma Talebi Oluşturuldu,2024-01-02T07:34:02+00:00
32,Talep Onaya Gönderildi,2024-01-02T09:28:43+00:00
32,Talep Onaylandı,2024-01-02T12:44:23+00:00
32,Satın Alma Siparişi Oluşturuldu,2024-01-03T08:27:18+00:00
32,Tedarikçiye Gönderildi,2024-01-03T12:29:18+00:00
32,Tedarikçi Onayladı,2024-01-03T17:42:39+00:00
32,Mal/Hizmet Alındı,2024-01-05T14:54:59+00:00
32,Fatura Alındı,2024-01-10T23:59:30+00:00
32,Ödeme Yapıldı,2024-01-11T13:14:15+00:00
33,Satın Alma Talebi Oluşturuldu,2024-05-12T19:16:36+00:00
33,Talep Onaya Gönderildi,2024-05-12T22:15:11+00:00
33,Talep Onaylandı,2024-05-13T01:57:21+00:00
33,Satın Alma Siparişi Oluşturuldu,2024-05-13T19:13:58+00:00
33,Tedarikçiye Gönderildi,2024-05-13T23:19:45+00:00
33,Tedarikçi Onayladı,2024-05-14T02:15:47+00:00
33,Mal/Hizmet Alındı,2024-05-16T23:57:33+00:00
33,Fatura Alındı,2024-05-20T04:08:36+00:00
33,Ödeme Yapıldı,2024-05-20T12:58:21+00:00
34,Satın Alma Talebi Oluşturuldu,2024-04-25T10:52:37+00:00
34,Talep Onaya Gönderildi,2024-04-25T11:57:00+00:00
34,Talep Reddedildi,2024-04-25T15:25:09+00:00
34,Talep Güncellendi,2024-04-26T04:55:19+00:00
34,Talep Onaya Gönderildi,2024-04-26T19:07:07+00:00
34,Talep Onaylandı,2024-04-26T20:20:14+00:00
34,Satın Alma Siparişi Oluşturuldu,2024-04-27T08:37:34+00:00
34,Tedarikçiye Gönderildi,2024-04-27T12:46:29+00:00
34,Tedarikçi Onayladı,2024-04-27T16:43:09+00:00
34,Mal/Hizmet Alındı,2024-04-30T02:08:39+00:00
34,Fatura Alındı,2024-05-04T13:28:10+00:00
34,Ödeme Yapıldı,2024-05-04T20:50:14+00:00
35,Satın Alma Talebi Oluşturuldu,2024-01-06T07:21:46+00:00
35,Talep Onaya Gönderildi,2024-01-06T11:02:26+00:00
35,Talep Reddedildi,2024-01-06T18:12:12+00:00
35,Talep Güncellendi,2024-01-07T15:54:45+00:00
35,Talep Onaya Gönderildi,2024-01-08T05:15:13+00:00
35,Talep Onaylandı,2024-01-08T06:54:36+00:00
35,Satın Alma Siparişi Oluşturuldu,2024-01-09T02:59:32+00:00
35,Tedarikçiye Gönderildi,2024-01-09T07:28:19+00:00
35,Tedarikçi Onayladı,2024-01-09T14:07:03+00:00
35,Mal/Hizmet Alındı,2024-01-11T16:52:22+00:00
35,Fatura Alındı,2024-01-18T06:58:09+00:00
35,Ödeme Yapıldı,2024-01-18T11:38:21+00:00
36,Satın Alma Talebi Oluşturuldu,2024-12-27T21:34:39+00:00
36,Talep Onaya Gönderildi,2024-12-28T00:34:48+00:00
36,Talep Onaylandı,2024-12-28T08:30:27+00:00
36,Satın Alma Siparişi Oluşturuldu,2024-12-29T00:24:59+00:00
36,Tedarikçiye Gönderildi,2024-12-29T06:10:00+00:00
36,Tedarikçi Onayladı,2024-12-29T17:04:51+00:00
36,Mal/Hizmet Alındı,2024-12-31T22:29:18+00:00
36,Fatura Alındı,2025-01-06T12:48:04+00:00
36,Ödeme Yapıldı,2025-01-07T01:54:23+00:00
37,Satın Alma Talebi Oluşturuldu,2024-12-13T08:25:55+00:00
37,Talep Onaya Gönderildi,2024-12-13T12:07:24+00:00
37,Talep Onaylandı,2024-12-13T18:35:07+00:00
37,Satın Alma Siparişi Oluşturuldu,2024-12-14T08:04:44+00:00
37,Tedarikçiye Gönderildi,2024-12-14T10:22:29+00:00
37,Tedarikçi Onayladı,2024-12-14T14:50:50+00:00
37,Mal/Hizmet Alındı,2024-12-16T21:27:18+00:00
37,Fatura Alındı,2024-12-22T17:21:09+00:00
37,Fatura Uyuşmazlığı,2024-12-23T06:49:16+00:00
37,Fatura Düzeltildi,2024-12-23T18:20:32+00:00
37,Ödeme Yapıldı,2024-12-25T07:31:22+00:00
38,Satın Alma Talebi Oluşturuldu,2024-08-10T22:21:31+00:00
38,Talep Onaya Gönderildi,2024-08-11T00:03:43+00:00
38,Talep Onaylandı,2024-08-11T04:04:37+00:00
38,Satın Alma Siparişi Oluşturuldu,2024-08-12T01:56:15+00:00
38,Tedarikçiye Gönderildi,2024-08-12T03:20:26+00:00
38,Tedarikçi Onayladı,2024-08-12T06:50:56+00:00
38,Mal/Hizmet Alındı,2024-08-14T01:14:04+00:00
38,Fatura Alındı,2024-08-16T19:34:16+00:00
38,Ödeme Yapıldı,2024-08-17T02:16:41+00:00
39,Satın Alma Talebi Oluşturuldu,2024-09-15T00:04:34+00:00
39,Talep Onaya Gönderildi,2024-09-15T02:42:14+00:00
39,Talep Onaylandı,2024-09-15T07:11:54+00:00
39,Satın Alma Siparişi Oluşturuldu,2024-09-15T15:20:06+00:00
39,Tedarikçiye Gönderildi,2024-09-15T18:26:09+00:00
39,Tedarikçi Onayladı,2024-09-16T05:29:03+00:00
39,Kısmi Teslimat Alındı,2024-09-18T09:31:12+00:00
39,İkinci Teslimat Alındı,2024-09-22T11:35:52+00:00
39,Fatura Alındı,2024-09-26T01:16:57+00:00
39,Ödeme Yapıldı,2024-09-26T20:07:32+00:00
40,Satın Alma Talebi Oluşturuldu,2024-01-06T13:54:39+00:00
40,Talep Onaya Gönderildi,2024-01-06T17:44:20+00:00
40,Talep Onaylandı,2024-01-06T21:31:50+00:00
40,Satın Alma Siparişi Oluşturuldu,2024-01-07T09:19:49+00:00
40,Tedarikçiye Gönderildi,2024-01-07T14:47:19+00:00
40,Tedarikçi Onayladı,2024-01-08T01:08:45+00:00
40,Mal/Hizmet Alındı,2024-01-10T02:58:49+00:00
40,Fatura Alındı,2024-01-15T19:08:11+00:00
40,Ödeme Yapıldı,2024-01-16T14:44:01+00:00
41,Satın Alma Talebi Oluşturuldu,2025-01-15T05:15:25+00:00
41,Talep Onaya Gönderildi,2025-01-15T06:54:54+00:00
41,Talep Onaylandı,2025-01-15T11:31:48+00:00
41,Satın Alma Siparişi Oluşturuldu,2025-01-15T16:06:38+00:00
41,Tedarikçiye Gönderildi,2025-01-15T18:47:28+00:00
41,Tedarikçi Onayladı,2025-01-16T03:34:58+00:00
41,Mal/Hizmet Alındı,2025-01-17T22:59:23+00:00
41,Fatura Alındı,2025-01-20T18:47:43+00:00
41,Ödeme Yapıldı,2025-01-21T07:04:40+00:00
42,Satın Alma Talebi Oluşturuldu,2025-02-19T20:47:10+00:00
42,Talep Onaya Gönderildi,2025-02-19T21:52:01+00:00
42,Talep Onaylandı,2025-02-20T02:13:52+00:00
42,Satın Alma Siparişi Oluşturuldu,2025-02-20T17:31:08+00:00
42,Tedarikçiye Gönderildi,2025-02-20T18:39:16+00:00
42,Tedarikçi Onayladı,2025-02-21T03:04:55+00:00
42,Mal/Hizmet Alındı,2025-02-22T09:35:43+00:00
42,Fatura Alındı,2025-02-26T16:59:57+00:00
42,Ödeme Yapıldı,2025-02-26T20:06:20+00:00
43,Satın Alma Talebi Oluşturuldu,2024-06-14T09:38:01+00:00
43,Talep Onaya Gönderildi,2024-06-14T11:59:51+00:00
43,Talep Onaylandı,2024-06-14T16:01:21+00:00
43,Satın Alma Siparişi Oluşturuldu,2024-06-15T13:36:55+00:00
43,Tedarikçiye Gönderildi,2024-06-15T16:00:24+00:00
43,Tedarikçi Onayladı,2024-06-16T03:31:07+00:00
43,Mal/Hizmet Alındı,2024-06-17T23:45:14+00:00
43,Fatura Alındı,2024-06-24T03:56:35+00:00
43,Ödeme Yapıldı,2024-06-24T16:17:24+00:00
44,Satın Alma Talebi Oluşturuldu,2024-02-11T10:56:45+00:00
44,Talep Onaya Gönderildi,2024-02-11T14:56:44+00:00
44,Talep Onaylandı,2024-02-11T19:02:43+00:00
44,Satın Alma Siparişi Oluşturuldu,2024-02-12T12:02:53+00:00
44,Tedarikçiye Gönderildi,2024-02-12T16:57:15+00:00
